,time,true_x,true_y,true_theta,true_vx,true_vy,true_omega,measured_x,measured_y,measured_theta,measured_vx,measured_vy,measured_omega,command_forward,command_lateral,command_rotation
0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.9664512270740245,-0.2382666725367805,0.005318985868930426,-0.1593171352935326,0.013104979844487823,-0.038206162098112006,0.0,0.0,0.0
1,0.06590557098388672,0.0,0.0,0.0,0.0,0.0,0.0,2.0635377046872416,2.011380788448475,-0.007971264279305945,0.18672704046987204,-0.02387768446624463,0.010503350687426583,0.0,0.0,0.0
2,0.09948444366455078,0.0,0.0,0.0,0.0,0.0,0.0,2.2697771215680933,-0.8849015802665463,-0.005847218796990461,-0.20757292457482787,0.03065173724120972,0.008843903109639228,0.0,0.0,0.0
3,0.13277506828308105,0.0,0.0,0.0,0.0,0.0,0.0,0.8581894129847252,-1.6215108723543372,-0.012928714162552257,-0.12508298921069827,0.02764990274581697,-0.006830720147914526,0.0,0.0,0.0
4,0.16652250289916992,0.0,0.0,0.0,0.0,0.0,0.0,0.7609912011721008,-2.086215089807028,-0.0015982468935828997,-0.35524671967880916,-0.048377419157619145,-0.011387335890733041,0.0,0.0,0.0
5,0.20179510116577148,0.0,0.0,0.0,0.0,0.0,0.0,1.496314885793224,-2.7915923353701655,-0.013156795394903664,0.00815891480426736,0.0010363257046590417,0.01591808844301834,0.0,0.0,0.0
6,0.24116110801696777,0.0,0.0,0.0,0.0,0.0,0.0,1.2909214390132762,-2.408388961983462,-0.014888336862581397,-0.2612244645996992,0.030050149723115614,0.029710623525642355,0.0,0.0,0.0
7,0.2839620113372803,0.0,0.0,0.0,0.0,0.0,0.0,1.2764945001679917,-3.5264552016172495,-0.001995726900198669,-0.17680895049640694,-0.013337429966839265,-0.016812705551461082,0.0,0.0,0.0
8,0.3228435516357422,0.0,0.0,0.0,0.0,0.0,0.0,-0.16543606436657154,-4.191857994256171,-0.0018808502293117257,-0.1634875311713094,-0.03358470582294861,0.010661564717577843,0.0,0.0,0.0
9,0.3633005619049072,0.0,0.0,0.0,0.0,0.0,0.0,-0.37122108766463946,-4.011764370742723,0.013273912521647002,0.2913280147358269,0.07578023032344716,0.01567325416637999,0.0,0.0,0.0
10,0.3940410614013672,0.0,0.0,0.0,0.0,0.0,0.0,1.0077709043234335,-2.937810297419024,-0.0007132891344370229,-0.2549321248155703,-0.06095847039184249,-0.024099901287226277,0.0,0.0,0.0
11,0.43005871772766113,0.0,0.0,0.0,0.0,0.0,0.0,1.2726303918015378,-3.0419784257671525,-0.010694935253838356,0.1611169148042606,0.017007418348508357,-0.0035684177443706666,0.0,0.0,0.0
12,0.4632840156555176,0.0,0.0,0.0,0.0,0.0,0.0,2.3848836440955745,-3.0811649150298224,-0.009071519602724898,-0.19503987360063896,0.025407511712688142,0.008088422022217934,0.0,0.0,0.0
13,0.4969160556793213,0.0,0.0,0.0,0.0,0.0,0.0,2.845735162510668,-3.4498980052761676,0.0029581643934011304,0.321413841948888,-0.013545011454586923,0.011977150958412786,0.0,0.0,0.0
14,0.5306987762451172,0.0,0.0,0.0,0.0,0.0,0.0,3.275571650393997,-2.383117568243922,0.004731584877347483,-0.2635825878330685,0.016546147950652842,-0.0014935171675336534,0.0,0.0,0.0
15,0.5633397102355957,0.0,0.0,0.0,0.0,0.0,0.0,3.5427651870058914,-4.482175026697629,-0.017768070855681106,0.21981290270132378,0.0239294969139077,-0.003941494531361833,0.0,0.0,0.0
16,0.5996787548065186,0.0,0.0,0.0,0.0,0.0,0.0,2.4076445956862815,-3.6739356932599394,-0.023203280466663756,-0.40319194674814035,0.030574467824203318,0.002868645412612114,0.0,0.0,0.0
17,0.6366865634918213,0.0,0.0,0.0,0.0,0.0,0.0,2.7175877258808443,-3.6096295794258184,-0.006745579972939453,-0.25505088807101556,0.03225981714932455,0.018675566232364105,0.0,0.0,0.0
18,0.6670913696289062,0.0,0.0,0.0,0.0,0.0,0.0,3.7139018078941746,-1.9965597481694557,-0.006587567104159753,0.06639375126319765,0.001775963868563473,0.021680921902299755,0.0,0.0,0.0
19,0.6997983455657959,0.0,0.0,0.0,0.0,0.0,0.0,5.342689660387509,-2.4963274153848536,-0.0011911439417837677,-0.032638958497438544,0.0002720653857134027,-0.025087382594923824,0.0,0.0,0.0
20,0.7324798107147217,0.0,0.0,0.0,0.0,0.0,0.0,3.772467316721795,-2.6209081551282942,-0.01052093860751846,0.41797310460633186,0.0950494184496713,0.015429730836698852,0.0,0.0,0.0
21,0.7657198905944824,0.0,0.0,0.0,0.0,0.0,0.0,2.5333971180243795,-2.4113817290202015,-0.00041349610951391114,-0.011476085702234675,0.00238033642269105,-0.026110163316914292,0.0,0.0,0.0
22,0.7993574142456055,0.0,0.0,0.0,0.0,0.0,0.0,0.6175646195865867,-4.257747839024187,-0.0029958175366964213,-0.062519657201684,0.01224300406208417,0.01167814759418162,0.0,0.0,0.0
23,0.8326530456542969,0.0,0.0,0.0,0.0,0.0,0.0,1.6079386479942164,-4.437798912445667,0.01773988271997773,0.07245343054211986,0.002145672559403377,0.0372718464863846,0.0,0.0,0.0
24,0.8656866550445557,0.0,0.0,0.0,0.0,0.0,0.0,1.8009121337733582,-4.473782849134081,0.022417837975099886,0.0569980846832562,-0.007757002693583111,-0.003591765800419644,0.0,0.0,0.0
25,0.9058237075805664,0.0,0.0,0.0,0.0,0.0,0.0,2.742891022824252,-4.013909958328833,0.04886363801214255,0.19924753165560638,0.018991345042068397,0.04343581161686627,0.0,0.0,0.0
